LECROYWR104Xi-A,51949,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,05-Oct-2023 10:22:38,0                 
Time,Ampl
3.0119034e-006,-0.0181262
3.0120034e-006,-0.0262509
3.0121034e-006,-0.0306257
3.0122034e-006,-0.0300008
3.0123034e-006,-0.0292508
3.0124034e-006,-0.0305007
3.0125034e-006,-0.0266259
3.0126034e-006,-0.0128764
3.0127034e-006,0.00649783
3.0128034e-006,0.0206223
3.0129034e-006,0.0212473
3.0130034e-006,0.0159975
3.0131034e-006,0.0163725
3.0132034e-006,0.0204973
3.0133034e-006,0.0219972
3.0134034e-006,0.0209973
3.0135034e-006,0.0186224
3.0136034e-006,0.0152475
3.0137034e-006,0.0166224
3.0138034e-006,0.0267471
3.0139034e-006,0.0356217
3.0140034e-006,0.0304969
3.0141034e-006,0.0126226
3.0142034e-006,-0.00487673
3.0143034e-006,-0.00737664
3.0144034e-006,0.00612284
3.0145034e-006,0.0219972
3.0146034e-006,0.0313719
3.0147034e-006,0.0329968
3.0148034e-006,0.0304969
3.0149034e-006,0.028497
3.0150034e-006,0.0267471
3.0151034e-006,0.0236222
3.0152034e-006,0.0234972
3.0153034e-006,0.029122
3.0154034e-006,0.0349967
3.0155034e-006,0.0394966
3.0156034e-006,0.0484962
3.0157034e-006,0.0617457
3.0158034e-006,0.0721203
3.0159034e-006,0.0737452
3.0160034e-006,0.0714953
3.0161034e-006,0.0716203
3.0162034e-006,0.0733703
3.0163034e-006,0.0742452
3.0164034e-006,0.0727453
3.0165034e-006,0.0682455
3.0166034e-006,0.0617457
3.0167034e-006,0.0569959
3.0168034e-006,0.0579959
3.0169034e-006,0.0627457
3.0170034e-006,0.0738702
3.0171034e-006,0.0953694
3.0172034e-006,0.115744
3.0173034e-006,0.116494
3.0174034e-006,0.0957444
3.0175034e-006,0.0729953
3.0176034e-006,0.0679955
3.0177034e-006,0.0786201
3.0178034e-006,0.0873697
3.0179034e-006,0.0889947
3.0180034e-006,0.0914946
3.0181034e-006,0.0961194
3.0182034e-006,0.0947444
3.0183034e-006,0.0834949
3.0184034e-006,0.0721203
3.0185034e-006,0.0739952
3.0186034e-006,0.080495
3.0187034e-006,0.0742452
3.0188034e-006,0.0626207
3.0189034e-006,0.0589958
3.0190034e-006,0.0591208
3.0191034e-006,0.0571209
3.0192034e-006,0.053871
3.0193034e-006,0.0526211
3.0194034e-006,0.0579959
3.0195034e-006,0.0693704
3.0196034e-006,0.0766201
3.0197034e-006,0.0699954
3.0198034e-006,0.0516211
3.0199034e-006,0.0356217
3.0200034e-006,0.0343718
3.0201034e-006,0.0427464
3.0202034e-006,0.0464963
3.0203034e-006,0.0429964
3.0204034e-006,0.0394966
3.0205034e-006,0.0421215
3.0206034e-006,0.0503711
3.0207034e-006,0.0562459
3.0208034e-006,0.054121
3.0209034e-006,0.0501212
3.0210034e-006,0.0492462
3.0211034e-006,0.0499962
3.0212034e-006,0.0516211
3.0213034e-006,0.052996
3.0214034e-006,0.0473713
3.0215034e-006,0.0313719
3.0216034e-006,0.0106227
3.0217034e-006,-0.00800161
3.0218034e-006,-0.0182512
3.0219034e-006,-0.0193762
3.0220034e-006,-0.0137514
3.0221034e-006,-0.00125187
3.0222034e-006,0.0136226
3.0223034e-006,0.0207473
3.0224034e-006,0.0187474
3.0225034e-006,0.0157475
3.0226034e-006,0.0161225
3.0227034e-006,0.0169974
3.0228034e-006,0.0143725
3.0229034e-006,0.00824776
3.0230034e-006,0.000748051
3.0231034e-006,-0.00700165
3.0232034e-006,-0.0141264
3.0233034e-006,-0.0157513
3.0234034e-006,-0.00762663
3.0235034e-006,0.00924772
3.0236034e-006,0.028247
3.0237034e-006,0.0394966
3.0238034e-006,0.0363717
3.0239034e-006,0.0261221
3.0240034e-006,0.0249971
3.0241034e-006,0.0348717
3.0242034e-006,0.0399965
3.0243034e-006,0.0298719
3.0244034e-006,0.0123726
3.0245034e-006,0.00187301
3.0246034e-006,0.00324796
3.0247034e-006,0.0154975
3.0248034e-006,0.0348717
3.0249034e-006,0.0483712
3.0250034e-006,0.0458713
3.0251034e-006,0.0338718
3.0252034e-006,0.0267471
3.0253034e-006,0.0311219
3.0254034e-006,0.0419965
3.0255034e-006,0.052871
3.0256034e-006,0.0579959
3.0257034e-006,0.055121
3.0258034e-006,0.0517461
3.0259034e-006,0.053871
3.0260034e-006,0.0604958
3.0261034e-006,0.0674955
3.0262034e-006,0.0701204
3.0263034e-006,0.0706204
3.0264034e-006,0.0757452
3.0265034e-006,0.0877447
3.0266034e-006,0.101869
3.0267034e-006,0.111994
3.0268034e-006,0.113244
3.0269034e-006,0.104619
3.0270034e-006,0.0944945
3.0271034e-006,0.0903696
3.0272034e-006,0.0929945
3.0273034e-006,0.0969944
3.0274034e-006,0.0953694
3.0275034e-006,0.0897446
3.0276034e-006,0.0839949
3.0277034e-006,0.0739952
3.0278034e-006,0.0559959
3.0279034e-006,0.0381216
3.0280034e-006,0.0312469
3.0281034e-006,0.0398715
3.0282034e-006,0.0603708
3.0283034e-006,0.080245
3.0284034e-006,0.0934945
3.0285034e-006,0.100119
3.0286034e-006,0.0923695
3.0287034e-006,0.0727453
